# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model6_model
# start_datetime = 2023-11-09 00:27:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-52433df044e.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model6-202311090027-2-5c6e6d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model6-profile-202311090027-2-68eca4.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model6_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4580.39,1,0.015625,1,1,0,6645.4,1.98422,0.20087,2.0339,0.193172,1.12399
-4580.39,0,14.3855,0,1,1,4588.11,1.98422,0.20087,2.0339,0.193172,1.12399
-4580.39,0,2.43117,0,1,1,4580.73,1.98422,0.20087,2.0339,0.193172,1.12399
-4580.39,0,0.239791,0,1,1,4584.06,1.98422,0.20087,2.0339,0.193172,1.12399
-4580.39,6.16107e-71,0.0186273,1,3,1,4582.04,1.98422,0.20087,2.0339,0.193172,1.12399
-4520.32,1,0.00130482,3,7,0,4583.93,1.9667,0.200967,2.05769,0.193537,1.07794
-4477.39,0.996955,0.00189104,3,7,0,4526.6,1.96726,0.202644,2.04815,0.189221,1.03029
-4454.82,0.997548,0.00302822,3,7,0,4479.06,1.93813,0.198005,1.99316,0.188794,1.00411
-4436.26,0.980439,0.00521006,3,7,0,4456.79,1.84615,0.194725,1.96274,0.186532,0.996539
-4428.28,1,0.00888034,2,3,0,4438.52,1.81091,0.196467,1.92874,0.185256,0.9962
-4428.28,0.0258888,0.0165526,2,3,0,4431.02,1.81091,0.196467,1.92874,0.185256,0.9962
-4378.23,0.997916,0.00144575,5,31,0,4433.33,1.53369,0.194437,1.8088,0.181034,0.994372
-4364.26,0.988296,0.00276908,4,15,0,4384.16,1.41693,0.193117,1.80284,0.184039,0.989383
-4351.78,0.937068,0.00518144,3,7,0,4366.79,1.37688,0.195239,1.72358,0.183945,0.987281
-4332.38,0.68289,0.00828136,3,7,0,4357.42,1.32894,0.188106,1.59807,0.188514,0.999684
-4245.59,0.97499,0.00602491,4,15,0,4338.65,0.901781,0.196575,1.18777,0.180668,0.980233
-4230.59,0.684313,0.0108666,3,7,0,4247.83,0.875735,0.185548,1.09262,0.169088,0.987163
-4218.75,0.999785,0.00802754,3,15,0,4232.22,0.8347,0.186627,1.00081,0.160974,1.00017
-4214,0.958593,0.0155431,2,3,0,4219.07,0.846857,0.189846,0.953852,0.162795,0.99342
-4214,0.0597056,0.026371,1,3,1,4215.92,0.846857,0.189846,0.953852,0.162795,0.99342
-4209.55,0.999723,0.00304636,4,15,0,4214.79,0.845965,0.190184,0.908987,0.165766,0.994472
-4159.62,0.972215,0.00588326,5,31,0,4214.95,0.859956,0.218927,0.418052,0.165457,0.989251
-4154.06,1,0.0103795,4,15,0,4160.48,0.939759,0.212881,0.374284,0.171976,0.998066
-4154.01,0.2217,0.0196802,2,5,1,4155.96,0.949963,0.210453,0.37402,0.177911,0.997135
-4150.91,0.953979,0.00392075,6,63,0,4158.31,1.11053,0.237283,0.31588,0.180994,0.980158
-4151.95,0.930351,0.00650915,5,31,0,4153.55,1.07656,0.234762,0.321297,0.182297,1.01136
-4142.54,0.818864,0.0100242,5,31,0,4153.23,1.15016,0.190478,0.281647,0.150691,0.990007
-4139.47,0.480503,0.0112081,4,15,0,4145.77,1.27166,0.183985,0.253487,0.15862,0.987564
-4139.45,0.962396,0.00487553,2,7,0,4140.59,1.28092,0.1836,0.2533,0.158463,1.00268
-4138.43,0.982711,0.00813945,5,31,0,4143,1.29091,0.164892,0.216331,0.153978,0.998133
-4136.3,0.650861,0.0142445,4,15,0,4140.47,1.37393,0.163647,0.23343,0.152518,1.00174
-4126.72,0.714885,0.0100289,5,31,0,4140.05,1.76378,0.134536,0.221936,0.105978,0.992572
-4125.44,0.976008,0.00843794,4,31,0,4129.19,1.84102,0.131796,0.214661,0.103864,0.99665
-4117.02,0.859937,0.0143023,4,31,0,4126.58,2.44427,0.117072,0.143278,0.0893992,0.998357
-4117.02,0.106644,0.0176702,1,3,0,4117.94,2.44427,0.117072,0.143278,0.0893992,0.998357
-4118.39,0.998904,0.00300166,6,63,0,4118.97,2.41926,0.124438,0.158925,0.0893685,0.988718
-4122.56,0.994147,0.00537533,5,63,0,4124.22,2.12062,0.134088,0.173616,0.11017,1.00014
-4117.24,0.776093,0.00942059,6,63,0,4132.91,2.86544,0.112628,0.159774,0.0709,0.983915
-4113.9,0.999336,0.00934713,5,31,0,4119.67,2.93366,0.0829003,0.132433,0.0544248,0.984384
-4113.54,0.145026,0.0163823,3,7,0,4114.75,2.93208,0.0820234,0.134285,0.0540884,0.987809
-4113.04,0.999737,0.00327867,7,127,0,4118.24,3.16439,0.10357,0.10653,0.0671207,0.98771
-4115.37,0.900558,0.00574644,7,127,0,4116.86,6.5599,0.0363717,0.0810861,0.0332103,1.01083
-4114.74,0.998747,0.00779916,4,15,0,4116.92,6.91079,0.0372999,0.0817704,0.0333486,0.997807
-4114.3,0.868897,0.0134334,4,15,0,4116.15,5.66932,0.0357054,0.0801828,0.0292945,0.992598
-4112.83,0.402283,0.0166837,3,12,1,4118.02,5.49153,0.0377962,0.0842587,0.0309254,0.996363
-4114.69,0.99682,0.00661669,6,63,0,4118.01,5.67073,0.0425572,0.105184,0.0263122,0.995852
