# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model3_model
# start_datetime = 2023-11-09 00:15:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-524a66de01.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model3-202311090015-1-8fe1bc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model3-profile-202311090015-1-4c66e6.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-8200.84,1,0.00390625,1,1,0,31479.5,2.26893,0.567245,1.80095,0.191657,0.559514
-8200.84,0,14.3855,0,1,1,8203.18,2.26893,0.567245,1.80095,0.191657,0.559514
-8200.84,0,2.43117,0,1,1,8201.4,2.26893,0.567245,1.80095,0.191657,0.559514
-8200.84,0,0.239791,0,1,1,8204.48,2.26893,0.567245,1.80095,0.191657,0.559514
-8200.84,0,0.0186273,0,1,1,8202.83,2.26893,0.567245,1.80095,0.191657,0.559514
-8020.4,1,0.00130482,1,1,0,8202.53,2.27097,0.567937,1.80097,0.192082,0.565691
-7604.9,1,0.00189104,1,1,0,8005.54,2.27138,0.569676,1.8028,0.191983,0.580993
-5085.34,1,0.00305706,2,3,0,7423.72,2.25587,0.567823,1.78213,0.192685,0.744378
-4664.8,1,0.00530085,1,1,0,5013.27,2.24866,0.571099,1.77405,0.193102,0.8098
-4294.78,1,0.00961161,2,3,0,4508.06,2.24855,0.576301,1.77491,0.194313,0.969442
-4294.78,0.051017,0.0179176,1,1,0,4295.88,2.24855,0.576301,1.77491,0.194313,0.969442
-4199,0.999855,0.0016941,7,127,0,4301.11,1.68185,0.464609,1.25083,0.169156,1.01219
-4162.79,0.995358,0.00326307,5,31,0,4202.35,1.52128,0.452314,1.05423,0.138877,1.01451
-4150.75,0.97502,0.00623796,4,15,0,4165.1,1.42058,0.468679,1.00003,0.125736,1.01726
-4107.22,0.982174,0.011211,4,15,0,4152.76,0.966196,0.358289,0.512359,0.119136,0.998218
-4107.22,0.0215597,0.020577,1,3,1,4111.74,0.966196,0.358289,0.512359,0.119136,0.998218
