# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model8_model
# start_datetime = 2023-11-09 00:33:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5241ec7238c.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model8-202311090033-2-4927cf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model8-profile-202311090033-2-20e7c7.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model8_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4104.62,0.999644,0.00381313,7,191,0,4106.49,4.19278,0.0994694,0.154995,0.0392375,0.998938
-4104.92,0.924498,0.00656167,6,127,0,4107.8,2.95024,0.0783961,0.165589,0.0518738,0.992593
-4105.49,0.891507,0.00933852,6,95,0,4109.54,4.58236,0.079349,0.104951,0.0470924,0.984752
-4103.15,0.962427,0.0122137,4,15,0,4105.99,4.15921,0.0719903,0.110765,0.0467691,1.0038
-4103.53,0.304258,0.0188496,1,3,0,4104.27,4.17658,0.0728505,0.109589,0.0475812,0.984798
-4101.66,0.965722,0.00606527,6,63,0,4104.93,4.51621,0.0729019,0.142222,0.0355604,0.995905
-4101.41,0.990262,0.00941869,5,63,0,4102.59,4.46204,0.0716295,0.140989,0.035075,0.994724
-4101.58,0.993705,0.0153976,5,63,0,4102.27,3.83068,0.0692431,0.154356,0.0409075,0.992959
-4101.58,0.0144259,0.0252063,1,3,0,4103.82,3.83068,0.0692431,0.154356,0.0409075,0.992959
-4102.74,0.97206,0.00426371,7,127,0,4103.77,4.53116,0.0696957,0.10319,0.0419775,1.00233
-4102.64,0.999881,0.0066511,5,31,0,4103.2,4.59719,0.0716579,0.0999708,0.0409238,0.997242
-4102.01,0.999974,0.0109907,5,63,0,4103.02,4.75436,0.0661406,0.101789,0.0390669,0.992194
-4102.01,0.000760309,0.0180479,1,3,0,4106.54,4.75436,0.0661406,0.101789,0.0390669,0.992194
-4101.99,0.997422,0.00309804,7,255,0,4105.29,3.53793,0.0746641,0.139491,0.0458736,0.99323
-4101.4,0.999922,0.00506459,7,127,0,4102.88,4.10679,0.0834788,0.134126,0.0373169,0.993797
-4102.47,0.992211,0.00827439,5,31,0,4102.72,3.91796,0.0941677,0.127348,0.0392746,0.993277
-4102.99,0.967658,0.0132091,5,47,0,4104.97,3.43651,0.101325,0.141585,0.0437431,0.995972
-4102.99,0.000437789,0.0198637,1,3,0,4106.69,3.43651,0.101325,0.141585,0.0437431,0.995972
-4103.32,0.978896,0.00358371,4,23,0,4103.93,3.50554,0.0997706,0.141534,0.0436457,0.985915
-4102.8,0.944911,0.00553591,2,7,0,4104.33,3.53308,0.0992812,0.142263,0.0436897,0.989806
-4103.43,0.999045,0.00790452,6,63,0,4104.06,3.4342,0.0737398,0.170714,0.0517181,0.999211
-4101.7,0.888525,0.012626,4,31,0,4104.25,3.59294,0.0846635,0.149102,0.0467746,0.995
-4102.23,0.0938891,0.0158373,5,31,0,4103.34,3.57403,0.0921756,0.152685,0.0437082,0.98803
-4103.22,0.954376,0.00365771,4,23,0,4105.04,3.60813,0.0928994,0.155276,0.0438522,0.982246
-4103.72,0.999808,0.00529427,5,63,0,4106.5,3.01946,0.0967519,0.166734,0.0448495,0.994642
-4107.37,0.640842,0.00839582,6,63,0,4113.64,4.0374,0.091578,0.189334,0.028708,0.996768
-4103.87,0.985652,0.00625176,6,63,0,4113.6,3.6851,0.075236,0.195577,0.0429866,0.988739
-4103.26,0.993323,0.00956716,6,63,0,4105.32,3.3676,0.100064,0.152372,0.0506796,0.99545
-4104.29,0.534656,0.0148059,5,31,0,4107.31,3.25112,0.0880188,0.198027,0.0408023,0.987308
-4102.17,0.798128,0.00887009,6,63,0,4106.87,3.61774,0.0947468,0.149987,0.0418428,0.990933
-4101.71,0.995917,0.00916246,4,31,0,4104,3.83536,0.0836537,0.159008,0.0418952,0.996685
-4101.77,0.189154,0.0141552,5,37,0,4106.01,4.02863,0.072723,0.115762,0.0429042,0.990449
-4104.34,0.960193,0.00424123,6,63,0,4106.24,4.39631,0.0640718,0.111283,0.051739,1.00087
-4102.27,0.999992,0.00609167,6,63,0,4104.79,3.89908,0.0675883,0.119413,0.0463397,0.991364
-4102.67,0.983354,0.00944141,5,47,0,4104.88,4.5511,0.0664433,0.155904,0.0331708,0.99835
-4101.76,0.998325,0.0140916,4,31,0,4105.31,4.3681,0.0710562,0.145711,0.0338322,0.998705
-4101.76,0.177141,0.0215798,2,5,1,4104.36,4.3681,0.0710562,0.145711,0.0338322,0.998705
-4102.9,0.863325,0.00648415,6,119,0,4104.16,4.70177,0.0638956,0.102753,0.0377774,0.982257
-4104.12,0.98817,0.00760745,5,47,0,4106.47,5.63746,0.0533444,0.101459,0.0329837,0.983648
-4108.81,1,0.0113797,4,15,0,4112.09,6.57383,0.0482489,0.105083,0.0333996,0.998907
-4108.81,0.0111351,0.0173513,2,5,1,4115.51,6.57383,0.0482489,0.105083,0.0333996,0.998907
-4106.75,0.999965,0.00386553,5,31,0,4109.26,6.29872,0.0498859,0.104694,0.0333405,0.996575
-4103.18,0.996744,0.00589839,5,63,0,4108.95,4.87613,0.0545834,0.118962,0.0291107,0.990568
-4105.38,0.966076,0.00890886,5,31,0,4106.33,5.91538,0.0449439,0.114136,0.0290522,0.992306
-4103.86,0.999271,0.0126394,6,63,0,4109.65,4.91335,0.0667048,0.0860264,0.0362906,0.992813
-4103.86,0.000977454,0.0190407,1,3,0,4106.48,4.91335,0.0667048,0.0860264,0.0362906,0.992813
-4102.88,0.999913,0.00429925,6,63,0,4105.03,5.24396,0.0534696,0.121799,0.0357279,0.996053
-4101.78,0.991372,0.00649026,5,31,0,4105.67,4.96162,0.0609876,0.105283,0.0374787,0.994261
-4101.07,0.985697,0.00960569,6,63,0,4102.56,4.46971,0.0671674,0.131874,0.0350133,0.99594
-4101.14,0.54844,0.0140167,5,31,0,4103.65,4.19619,0.0741346,0.128022,0.039718,0.999996
-4101.28,0.993776,0.00902049,6,63,0,4101.76,4.15737,0.0675568,0.118188,0.0403948,0.997221
-4101.89,0.979139,0.0133189,6,63,0,4102.18,4.28995,0.0825611,0.121453,0.0404732,0.99187
-4101.89,0.0534541,0.0190751,1,3,0,4104.04,4.28995,0.0825611,0.121453,0.0404732,0.99187
-4102.61,0.993692,0.00495481,7,127,0,4104.28,4.08169,0.072125,0.173042,0.0398166,0.992592
-4102.78,0.897095,0.00729465,5,31,0,4104.1,4.05556,0.075796,0.171768,0.038994,1.00121
-4103.06,0.853637,0.00897327,6,127,0,4105.24,4.25178,0.0753233,0.122189,0.0326562,0.983056
-4103.06,0.0340108,1.30318,1,3,1,4104,4.25178,0.0753233,0.122189,0.0326562,0.983056
-4103.06,0,3.23712,0,1,1,4104.42,4.25178,0.0753233,0.122189,0.0326562,0.983056
-4102.49,0.994392,0.325081,3,15,0,4105.37,4.30024,0.0674674,0.119901,0.0330986,0.985411
-4104.7,0.808169,0.33706,2,7,0,4108.21,4.71536,0.0757563,0.115433,0.0276281,1.00572
-4103.96,0.997278,0.264976,4,15,0,4106.39,4.90369,0.04914,0.106261,0.0433398,0.992522
-4102.2,0.982801,0.402768,4,15,0,4105.51,4.25415,0.0810404,0.127552,0.0338629,1.00202
-4107.51,0.71542,0.641796,2,7,0,4107.7,4.40102,0.0487281,0.105495,0.0531052,0.986871
-4103.43,1,0.469215,3,7,0,4108.21,4.31732,0.0594784,0.132759,0.0491064,0.997611
-4104.88,0.209223,0.851937,2,7,0,4106.67,4.03224,0.0789944,0.133085,0.0290725,0.991255
-4103.39,0.998262,0.130153,5,47,0,4108.57,4.20568,0.0806712,0.171732,0.0397168,0.996425
-4106.05,0.947416,0.242082,4,23,0,4114.06,4.91355,0.0538953,0.0982124,0.0314592,0.975653
-4104.95,0.958133,0.387392,2,7,0,4110.45,5.0119,0.0600559,0.159953,0.0289745,0.997012
-4102.69,0.980449,0.6442,3,15,0,4108.66,3.66059,0.0958648,0.162918,0.0383384,0.991523
-4102.69,0.000197813,1.14947,1,3,0,4104.82,3.66059,0.0958648,0.162918,0.0383384,0.991523
-4103.01,0.98772,0.0962133,6,63,0,4106.33,4.00124,0.071517,0.114353,0.0470357,0.985113
-4102.16,0.983059,0.177531,4,15,0,4106.19,4.0063,0.0706445,0.120328,0.0443205,1.00338
-4101.75,0.966815,0.321233,3,15,0,4103.33,4.1519,0.078457,0.14447,0.0429004,0.993962
-4104.06,0.831331,0.549521,2,3,0,4104.68,3.76096,0.0689895,0.150447,0.037861,0.979152
-4103.21,0.858831,0.61928,2,3,0,4106.27,4.66311,0.061555,0.157387,0.0373061,0.996231
-4107.25,0.428053,0.757377,2,7,0,4108.25,4.05504,0.102294,0.135282,0.0435308,1.01381
-4105.58,1,0.255781,3,15,0,4109.09,3.24012,0.0682408,0.167959,0.0451132,0.984012
-4106.9,0.928585,0.47746,3,11,0,4108.27,3.11407,0.109477,0.129602,0.0475972,1.0056
-4104.2,0.988594,0.715784,3,7,0,4107.61,3.88218,0.0700108,0.177375,0.0463665,1.00392
-4104.2,1.36319e-17,1.26931,1,1,0,4106.29,3.88218,0.0700108,0.177375,0.0463665,1.00392
-4102.23,0.994993,0.129116,5,31,0,4106.65,3.99418,0.0714626,0.1161,0.0369064,0.991267
-4104.41,0.970468,0.23445,4,15,0,4107.73,3.71347,0.104348,0.177292,0.0397918,1.0003
-4102.27,0.976413,0.393229,3,15,0,4106.5,3.71428,0.0739488,0.12593,0.0396596,0.996333
-4101.44,0.881509,0.664887,3,15,0,4102.67,4.58122,0.0618578,0.120315,0.0348584,1.00048
-4101.44,0.00242542,0.855561,2,7,0,4108.18,4.58122,0.0618578,0.120315,0.0348584,1.00048
-4103.31,0.995862,0.0967392,5,31,0,4104.39,5.15908,0.0599048,0.0894412,0.0381177,0.995202
-4103.39,0.989256,0.172304,5,31,0,4104.93,3.6746,0.103764,0.162986,0.0390637,0.992548
