"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"11",1,-4061.37,-4092.86,-4081.86,-4085.34,-4103.27,-4105.5,-4096.73,-4098.93,-4102.69,-4075.01211503934,-4118.63059156987,-4105.63333636441,-4109.41289705014,-4134.10652987292,-4136.3334671258,-4125.38517238579,-4147.71010322386,-4152.98823362022
"12",4,-12694.4,-12710.7,-12697.3,-4152.06,-12711,-4197.58,-4183.39,-4199.3,-4228.43,-12710.6928543195,-12734.5268173382,-12716.2387837347,-4167.92806290501,-12736.0219022995,-4219.43257823808,-4202.13381923614,-4243.5307278247,-4272.70847032391
"13",6,-21103.4,-10052.8,-21106.7,-20952.4,-10074.2,-4467.41,-20961.8,-268106,-268666,-21148.175229691,-10068.8488130433,-21153.4578834827,-20996.9420124046,-10093.1403294579,-4484.57269358954,-21007.6206335911,-4517.97090068927,-4587.61282166421
"14",8,-26771.3,-19585.5,-26236.5,-26672.5,-13409.5,-18826.9,-26120.9,-962740,-960049,-26921.813953012,-19620.8590341573,-26370.3915249563,-26820.0725780485,-13429.0499022925,-18859.0487078248,-26251.6925180673,-4663.99975252551,-4850.47187351192
"15",3,-15336.9,-15347.9,-4213.73,-15346.7,-4254.41,-15352.5,-4252.53,-4257.53,-4274.31,-15356.0390143278,-15372.9255196945,-4229.53759870954,-15371.1112199244,-4274.515954625,-15381.1807098088,-4272.02495022209,-4312.71708989383,-4334.31142681387
"16",2,-20927.2,-4263.18,-20930.9,-20937.3,-4296.27,-4302.03,-20938,-274646,-274974,-20969.9718001661,-4278.50633612986,-20975.8345749625,-20985.3764176922,-4315.25206108261,-4321.67235629404,-20987.5333089892,-4351.34931005654,-4385.91638699045
"17",2,-15054.4,-4206.74,-15063.7,-15064.8,-4241.53,-4241.81,-15069.1,-63632.8,-63872.4,-15073.1661127545,-4221.96830136371,-15087.4504152382,-15088.7544028369,-4260.27636608529,-4260.58244642738,-15095.9401606591,-4292.15985676263,-4320.012896695
"18",1,-4117.66,-4151.93,-4139.84,-4143.89,-4161.77,-4165,-4154.93,-4156.46,-4158.75,-4130.47480018708,-4179.94721274712,-4163.19146215647,-4168.13884519774,-4193.97886661534,-4198.39871513808,-4184.0838923767,-4208.57532152693,-4211.97387793452
"19",1,-4088.92,-4121.63,-4109.44,-4110.35,-4131.73,-4131.39,-4121.39,-4123.2,-4126.98,-4102.79949202319,-4149.02432110451,-4132.20635540685,-4134.5544667022,-4163.05704603308,-4164.20925780596,-4149.36845141303,-4174.41174719055,-4179.09619973599
"20",2,-19329.6,-4176.98,-19336.8,-19338.4,-4195.45,-4205.25,-19340.4,-186859,-186833,-19362.3776162634,-4193.1224054991,-19372.6468500519,-19374.6533604078,-4214.75735439566,-4224.82048814208,-19378.8095500955,-4236.94058899005,-4263.72475725724
"21",5,-23772,-13607,-23507.2,-23772.4,-4265.59,-13625.6,-23516.8,-532379,-530985,-23849.1893874301,-13625.0389057258,-23580.434330759,-23852.2499335793,-4282.05813102739,-13646.7656070094,-23591.7554551866,-4322.96826847204,-4400.08782724951
"22",9,-28173.9,-25593.9,-28146.8,-28080.5,-25535.5,-25402,-28052,-29352.9,-791774,-28381.0834923418,-25709.2857104307,-28353.9818753214,-28283.8361534254,-25650.7031923717,-25513.2148863287,-28255.3701512011,-25450.3045405757,-5136.54604081845
"23",6,-25302.3,-15931.2,-25307.4,-24964.1,-15950.5,-4341.26,-24969.6,-759518,-759918,-25409.435756388,-15952.6521797081,-25416.4694223902,-25063.4787337837,-15973.8976464446,-4357.59023106099,-25071.3600131435,-4405.33614736672,-4488.39073726289
"24",7,-24646.7,-24654.1,-24015.3,-17323.2,-24024.4,-17346.1,-4371.5,-4395.61,-4454.91,-24740.6081510841,-24751.7855423889,-24098.6264195421,-17349.0492036356,-24110.2759473086,-17374.9890824211,-4388.32965886143,-4453.94157457885,-4516.91746361633
"25",4,-21285.3,-21294.7,-21290.9,-4240.54,-21295.7,-4288.75,-4272.18,-4293.27,-4327.31,-21331.2135721173,-21343.7266534902,-21339.5356369124,-4255.49189035638,-21347.0993962523,-4309.5129522496,-4290.14954621864,-4338.59214706605,-4374.11930980329
"26",1,-4028.69,-4057.29,-4051.61,-4048.12,-4069.07,-4066.42,-4059.73,-4061.69,-4065.1,-4041.2297145846,-4084.10671831992,-4073.61320395288,-4069.8998301458,-4099.56954227142,-4096.85817914982,-4085.97432243651,-4107.74993048238,-4112.56743876829
"27",8,-22508.5,-22267.7,-21019.6,-18847.2,-20648,-18150.2,-12536.3,-32686.5,-32766.8,-22569.788875751,-22326.877132379,-21066.4073105445,-18880.069631604,-20692.7627246387,-18180.9000219082,-12555.4209672903,-4465.80840651059,-4631.32527529092
"28",5,-19760,-14646.9,-18636.4,-19762.4,-4320.05,-14660.8,-18646.4,-154493,-154475,-19794.9443626346,-14666.7085995402,-18666.4692756113,-19799.8331567611,-4336.79977820758,-14682.57185065,-18677.3742038369,-4378.81741505904,-4445.42418176594
"29",3,-12059.9,-12078.4,-4200.01,-12076,-4250.18,-12086.8,-4242.54,-4253.07,-4281.39,-12076.1778995631,-12102.981047662,-4215.92833030539,-12099.5489731276,-4271.94187576195,-12115.8777118109,-4263.10965055871,-4315.57224289189,-4348.73514008327
"30",8,-23487.1,-14160.6,-23328.7,-23344.1,-11721.7,-11910.7,-23179.3,-467379,-466581,-23559.4811847352,-14179.1059960162,-23399.452190558,-23415.7507226971,-11739.2915572552,-11928.6143616072,-23248.9028524743,-4577.9348979364,-4770.7228473944
