# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model9_model
# start_datetime = 2023-11-09 00:36:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-524113a2cad.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model9-202311090036-1-7c2185.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model9-profile-202311090036-1-24d491.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model9_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-11664.6,1,0.00390625,1,1,0,27049.5,2.32342,0.580867,1.83972,0.196259,0.459483
-11664.6,0,14.3855,0,1,1,11666.9,2.32342,0.580867,1.83972,0.196259,0.459483
-11664.6,0,2.43117,0,1,1,11665.1,2.32342,0.580867,1.83972,0.196259,0.459483
-11664.6,0,0.239791,0,1,1,11668.2,2.32342,0.580867,1.83972,0.196259,0.459483
-11664.6,0,0.0186273,0,1,1,11666.6,2.32342,0.580867,1.83972,0.196259,0.459483
-11341.4,1,0.00130482,1,1,0,11662.7,2.32587,0.58165,1.84004,0.196726,0.466512
-10641.9,1,0.00189104,1,1,0,11312.6,2.32689,0.583545,1.8424,0.196675,0.48314
-6604.52,1,0.00305706,2,3,0,10350.6,2.30864,0.580797,1.82031,0.197194,0.662583
-5942.25,1,0.00530085,1,1,0,6498.44,2.28555,0.580126,1.80137,0.196274,0.735427
-5216.83,1,0.00961161,2,3,0,5700.45,2.19611,0.559215,1.74009,0.188128,0.926048
-4972.16,1,0.0179176,1,1,0,5196.74,1.96327,0.510849,1.59527,0.169878,1.03194
-4972.16,0,0.0339435,0,1,1,4978.53,1.96327,0.510849,1.59527,0.169878,1.03194
-4786.86,0.995222,0.00278004,3,7,0,4974.9,1.79078,0.474402,1.51603,0.153815,0.973979
-4747.83,1,0.00531606,2,3,0,4787.75,1.76589,0.462781,1.48315,0.15006,0.976367
-4717.83,1,0.0103371,1,1,0,4749.76,1.74644,0.454831,1.44714,0.147373,0.993037
-4617.77,1,0.0200607,1,1,0,4716.53,1.61359,0.427891,1.36985,0.138521,0.957083
-4617.77,0,0.0387518,0,1,1,4621.31,1.61359,0.427891,1.36985,0.138521,0.957083
