"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"1",3,-8278.42,-8306.51,-4160.84,-8297.98,-4207.02,-8315.66,-4195.26,-4210.55,-4233.06,-8291.26517586515,-8331.74185042673,-4176.7962153511,-8320.51585429498,-4230.37745100773,-8344.53058978383,-4216.11632278784,-4262.63748853868,-4285.84292036222
"2",4,-17551.7,-17562.6,-17555.4,-4226.97,-17564,-4277.41,-4258.87,-4334.86,-4357.19,-17578.7500439015,-17594.7366778578,-17584.932195901,-4243.29378154595,-17597.9116757035,-4299.71769238268,-4277.61598669668,-4331.69583901197,-4360.84080955204
"3",5,-22979.8,-20027.2,-20553.5,-22985.8,-4390.34,-20041.4,-20568.8,-4322.38,-4376.33,-23045.6862875028,-20065.2096322312,-20594.9978031031,-23055.7399164929,-4406.62986064848,-20081.7055894514,-20612.4705132193,-4461.39463240575,-4541.94206599755
"4",7,-13804.3,-13817.5,-9438.32,-12771.7,-9475.22,-12796.5,-4239.56,-4481.46,-4522.08,-13820.6639049961,-13839.1133065781,-9453.54138075209,-12788.3397797135,-9494.77174632677,-12816.774522307,-4256.18864258338,-4311.93360787765,-4360.29404475897
"5",8,-17344,-14684.7,-16297.7,-16381.2,-12184.8,-12389.5,-14965.1,-4494.61,-4652.35,-17367.738428582,-14703.5606350565,-16320.2025312796,-16403.7787570127,-12202.6478294271,-12407.442066906,-14986.0401823623,-4374.8505875038,-4555.49711895871
"6",7,-21803.9,-21818.6,-18632.1,-19563.7,-18654.1,-19584.8,-4398.82,-4382.34,-4430.49,-21855.3171233481,-21876.7392021744,-18663.5430253404,-19599.4358332869,-18690.016019996,-19625.0303598921,-4415.44326221309,-4469.44634988039,-4519.10769724116
"7",1,-4111.44,-4136.43,-4135.7,-4134.88,-4149.15,-4148.2,-4149.13,-4023.19,-4024.44,-4125.04110594801,-4164.46605394552,-4159.99899484022,-4159.13150897035,-4181.82282680755,-4181.35085026081,-4178.74267562966,-4194.83391760047,-4199.85138566969
"8",1,-4176.77,-4204.26,-4188.25,-4190.06,-4208.41,-4209.44,-4194.33,-4167.64,-4170.52,-4189.22587699836,-4229.27367676618,-4207.39091439429,-4210.72166905855,-4236.00891339171,-4237.77083583961,-4217.69970005969,-4242.10067771346,-4242.85935739497
"9",6,-23315.7,-13581.3,-23316.2,-23032,-13595.1,-4464.12,-23037.7,-4455.42,-4508.02,-23386.3451527244,-13599.907131434,-23388.6860137188,-23099.6971773612,-13615.010275872,-4481.16273338127,-23106.4384983164,-4512.03100173604,-4587.96629815267
"10",9,-27817.5,-26034.9,-27422.1,-26922,-25386.1,-24506.2,-26415.6,-22335.9,-5026.81,-28008.5343969303,-26162.1819037043,-27596.7793163324,-27077.8476230499,-25497.0056431613,-24597.6389995813,-26554.7274136662,-23574.5858502164,-5072.57648026398
"11",1,-4049.91,-4083.37,-4068.51,-4073.77,-4091.83,-4095.36,-4082.43,-4136.38,-4136.62,-4063.78898584986,-4109.9350448177,-4090.72264659237,-4099.0348208508,-4122.24714156379,-4127.95052702849,-4111.44080660052,-4136.10473415011,-4140.05277257941
"12",5,-20526.4,-17728,-18024.6,-20536.2,-4345.97,-17745.1,-18043.7,-4481.21,-4539.4,-20566.6712776767,-17754.910827862,-18052.5527141359,-20580.7745989001,-4362.18272580999,-17774.962692229,-18074.0369032264,-4419.20676517536,-4488.06950686609
"13",5,-23167.5,-15632.3,-22591.3,-23167.8,-4462.35,-15638.5,-22598.1,-4406.37,-4461.71,-23235.211769948,-15652.8604269464,-22652.2286391625,-23237.3715594938,-4478.90135954452,-15660.8086048114,-22659.8974538762,-4517.89381700569,-4577.12138062354
"14",2,-14547.1,-4289.46,-14551.2,-14554.8,-4306.76,-4314.07,-14555.4,-4298,-4327.77,-14565.1970904928,-4304.97876912621,-14571.5048605624,-14576.6833361597,-4324.33457188082,-4332.38854893874,-14578.3376120747,-4343.61337256956,-4370.01347227992
"15",3,-11478.9,-11501.8,-4184.3,-11496.7,-4239.93,-11509.8,-4225.44,-4344.56,-4362.85,-11493.7839843055,-11525.8711921953,-4199.7728854198,-11519.1868005034,-4262.84849095416,-11537.60654651,-4245.25805369997,-4305.67664567474,-4336.5644672549
"16",8,-23372.8,-22052.3,-23195.8,-19205,-21798,-12105.5,-18646.2,-4488.5,-4657.81,-23444.2863292702,-22107.320175058,-23267.0051408496,-19238.0808216943,-21852.0241397179,-12123.963717176,-18678.6000775953,-4555.32026845137,-4719.30984904544
"17",8,-23579.8,-21546.2,-23521.9,-20302,-21438.6,-9460.71,-20148.8,-4476.29,-4620.42,-23653.9991573086,-21595.8461827376,-23596.3442576082,-20341.5333044811,-21488.6159492685,-9477.91256671706,-20188.0929804969,-4486.08738549384,-4658.60923916971
"18",1,-4088.72,-4115.34,-4102.24,-4109.32,-4120.14,-4125.28,-4114.16,-4150.29,-4150.19,-4101.28522899172,-4141.93958058204,-4121.96491189705,-4132.11172621359,-4149.543478287,-4156.50223578629,-4139.83945793036,-4161.12320090556,-4163.10785608595
"19",1,-4209.38,-4228.72,-4226.2,-4223.45,-4236.17,-4233.66,-4232.23,-4088.57,-4090.01,-4221.87780597309,-4251.75497528421,-4247.81218646563,-4244.94401821517,-4263.72054982352,-4259.98922440691,-4258.12235574063,-4269.73436783796,-4273.56075696615
"20",7,-23736.8,-23747.3,-23017.2,-16898.2,-23028.4,-16921.9,-4341.47,-4271.06,-4324.03,-23813.276495605,-23827.3495457322,-23084.3047601685,-16922.2403894216,-23098.0544680226,-16949.8909444495,-4357.61099003433,-4414.54916992979,-4475.87762382369
"21",4,-9386,-9410.32,-9400.27,-4163.52,-9415.23,-4212.86,-4198.81,-4238.65,-4260.39,-9399.60925829359,-9434.89884716065,-9419.99911613738,-4179.66946994206,-9442.93824278661,-4235.88721640191,-4218.82156738151,-4263.70704804573,-4293.11381725245
"22",1,-4043.86,-4067.63,-4056.31,-4062.38,-4071.66,-4078.12,-4067.54,-4080.77,-4081.92,-4057.29914846813,-4092.42888451231,-4076.29764336279,-4084.87210690026,-4098.82493882006,-4106.8424435448,-4092.98201289211,-4111.02513695307,-4113.41789506058
"23",7,-25498.1,-25503.5,-24719.6,-18835,-24729,-18850.6,-4361.12,-4425.14,-4471.32,-25610.7943490898,-25618.5100892423,-24815.009860602,-18865.8836314258,-24825.5602693541,-18883.9469755412,-4377.66725462509,-4447.86839631144,-4509.71854286231
"24",4,-17273.6,-17286.3,-17283.2,-4210.62,-17289.5,-4261.97,-4247.83,-4293,-4317.91,-17296.941113884,-17316.3589597321,-17311.3567735199,-4226.30909588134,-17322.2686124985,-4284.41762779393,-4268.0046960544,-4318.59236155684,-4351.8275873481
"25",7,-21882.2,-21894.9,-20541.4,-17155.5,-20560.8,-17182,-4234.64,-4293.32,-4338.15,-21934.4294932881,-21952.7924896315,-20583.005392302,-17180.4058361879,-20606.0254881556,-17210.7537915752,-4250.84259896311,-4314.77129034933,-4373.094089411
"26",5,-27313,-20745.7,-26502.7,-27319.9,-4267.45,-20760.7,-26512.4,-4310.32,-4367.73,-27483.4462603213,-20788.2426294673,-26645.1785464973,-27493.1848494857,-4283.84854889163,-20805.8162326896,-26656.568504897,-4330.24764438435,-4403.79932524763
"27",7,-21672.9,-21683.4,-20613,-16218.1,-20628.6,-16239.5,-4223.09,-4276.54,-4326.52,-21722.8331430165,-21738.4453734707,-20654.9661716515,-16240.4273015464,-20673.4778784211,-16265.1982557224,-4239.31949050444,-4297.12697006935,-4360.99073116649
"28",8,-25354.2,-18676,-25302.7,-24677.6,-18318.1,-10457.4,-24613.9,-4482.4,-4655.85,-25463.0673726416,-18705.9899113659,-25410.8732893761,-24772.2205022239,-18347.5520754331,-10474.8479051295,-24707.8549851752,-4500.51186007842,-4693.39334418552
"29",1,-4071.88,-4099.9,-4085.88,-4092.89,-4104.28,-4109.88,-4097.68,-4112.87,-4114.16,-4084.64987078621,-4125.19271247616,-4104.94973641193,-4114.84649726498,-4132.45330797896,-4140.59550172979,-4122.30319790253,-4144.57599324705,-4147.67114239664
"30",9,-26226,-25181.3,-26196.8,-26049.3,-25141,-24944.5,-26018.8,-24901.7,-5106.89,-26359.4290689365,-25287.9944029122,-26330.6744087182,-26178.0022992903,-25247.7795329571,-25046.3736005719,-26147.6259244884,-25003.3060654624,-5126.22041218593
"31",1,-4061.37,-4092.86,-4081.86,-4085.34,-4103.27,-4105.5,-4096.73,-4113.51,-4115.55,-4075.01211503934,-4118.63059156987,-4105.63333636441,-4109.41289705014,-4134.10652987292,-4136.3334671258,-4125.38517238579,-4147.71010322386,-4152.98823362022
"32",4,-12694.4,-12710.7,-12697.3,-4152.06,-12711,-4197.58,-4183.39,-4220,-4242.43,-12710.6928543195,-12734.5268173382,-12716.2387837347,-4167.92806290501,-12736.0219022995,-4219.43257823808,-4202.13381923614,-4243.5307278247,-4272.70847032391
"33",6,-21103.4,-10052.8,-21106.7,-20952.4,-10074.2,-4467.41,-20961.8,-4498.45,-4552.36,-21148.175229691,-10068.8488130433,-21153.4578834827,-20996.9420124046,-10093.1403294579,-4484.57269358954,-21007.6206335911,-4517.97090068927,-4587.61282166421
"34",8,-26771.3,-19585.5,-26236.5,-26672.5,-13409.5,-18826.9,-26120.9,-4646.47,-4814.33,-26921.813953012,-19620.8590341573,-26370.3915249563,-26820.0725780485,-13429.0499022925,-18859.0487078248,-26251.6925180673,-4663.99975252551,-4850.47187351192
