"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"11",1,-4049.91,-4083.37,-4068.51,-4073.77,-4091.83,-4095.36,-4082.43,-4084.06,-4086.81,-4063.78898584986,-4109.9350448177,-4090.72264659237,-4099.0348208508,-4122.24714156379,-4127.95052702849,-4111.44080660052,-4136.10473415011,-4140.05277257941
"12",5,-20526.4,-17728,-18024.6,-20536.2,-4345.97,-17745.1,-18043.7,-131475,-131419,-20566.6712776767,-17754.910827862,-18052.5527141359,-20580.7745989001,-4362.18272580999,-17774.962692229,-18074.0369032264,-4419.20676517536,-4488.06950686609
"13",5,-23167.5,-15632.3,-22591.3,-23167.8,-4462.35,-15638.5,-22598.1,-403210,-403771,-23235.211769948,-15652.8604269464,-22652.2286391625,-23237.3715594938,-4478.90135954452,-15660.8086048114,-22659.8974538762,-4517.89381700569,-4577.12138062354
"14",2,-14547.1,-4289.46,-14551.2,-14554.8,-4306.76,-4314.07,-14555.4,-55124.9,-55064.9,-14565.1970904928,-4304.97876912621,-14571.5048605624,-14576.6833361597,-4324.33457188082,-4332.38854893874,-14578.3376120747,-4343.61337256956,-4370.01347227992
"15",3,-11478.9,-11501.8,-4184.3,-11496.7,-4239.93,-11509.8,-4225.44,-4236.66,-4262.72,-11493.7839843055,-11525.8711921953,-4199.7728854198,-11519.1868005034,-4262.84849095416,-11537.60654651,-4245.25805369997,-4305.67664567474,-4336.5644672549
"16",8,-23372.8,-22052.3,-23195.8,-19205,-21798,-12105.5,-18646.2,-149781,-149294,-23444.2863292702,-22107.320175058,-23267.0051408496,-19238.0808216943,-21852.0241397179,-12123.963717176,-18678.6000775953,-4555.32026845137,-4719.30984904544
"17",8,-23579.8,-21546.2,-23521.9,-20302,-21438.6,-9460.71,-20148.8,-223394,-224200,-23653.9991573086,-21595.8461827376,-23596.3442576082,-20341.5333044811,-21488.6159492685,-9477.91256671706,-20188.0929804969,-4486.08738549384,-4658.60923916971
"18",1,-4088.72,-4115.34,-4102.24,-4109.32,-4120.14,-4125.28,-4114.16,-4115.26,-4116.77,-4101.28522899172,-4141.93958058204,-4121.96491189705,-4132.11172621359,-4149.543478287,-4156.50223578629,-4139.83945793036,-4161.12320090556,-4163.10785608595
"19",1,-4209.38,-4228.72,-4226.2,-4223.45,-4236.17,-4233.66,-4232.23,-4234.38,-4237.25,-4221.87780597309,-4251.75497528421,-4247.81218646563,-4244.94401821517,-4263.72054982352,-4259.98922440691,-4258.12235574063,-4269.73436783796,-4273.56075696615
"20",7,-23736.8,-23747.3,-23017.2,-16898.2,-23028.4,-16921.9,-4341.47,-4366.76,-4425.33,-23813.276495605,-23827.3495457322,-23084.3047601685,-16922.2403894216,-23098.0544680226,-16949.8909444495,-4357.61099003433,-4414.54916992979,-4475.87762382369
