"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"1",3,-8278.42,-8306.51,-4160.84,-8297.98,-4207.02,-8315.66,-4195.26,-4202.38,-4221.18,-8291.26517586515,-8331.74185042673,-4176.7962153511,-8320.51585429498,-4230.37745100773,-8344.53058978383,-4216.11632278784,-4262.63748853868,-4285.84292036222
"2",4,-17551.7,-17562.6,-17555.4,-4226.97,-17564,-4277.41,-4258.87,-4280.13,-4308.99,-17578.7500439015,-17594.7366778578,-17584.932195901,-4243.29378154595,-17597.9116757035,-4299.71769238268,-4277.61598669668,-4331.69583901197,-4360.84080955204
"3",5,-22979.8,-20027.2,-20553.5,-22985.8,-4390.34,-20041.4,-20568.8,-246558,-245954,-23045.6862875028,-20065.2096322312,-20594.9978031031,-23055.7399164929,-4406.62986064848,-20081.7055894514,-20612.4705132193,-4461.39463240575,-4541.94206599755
"4",7,-13804.3,-13817.5,-9438.32,-12771.7,-9475.22,-12796.5,-4239.56,-4261.25,-4308.91,-13820.6639049961,-13839.1133065781,-9453.54138075209,-12788.3397797135,-9494.77174632677,-12816.774522307,-4256.18864258338,-4311.93360787765,-4360.29404475897
"5",8,-17344,-14684.7,-16297.7,-16381.2,-12184.8,-12389.5,-14965.1,-61811.4,-62018,-17367.738428582,-14703.5606350565,-16320.2025312796,-16403.7787570127,-12202.6478294271,-12407.442066906,-14986.0401823623,-4374.8505875038,-4555.49711895871
"6",7,-21803.9,-21818.6,-18632.1,-19563.7,-18654.1,-19584.8,-4398.82,-4420.08,-4466.81,-21855.3171233481,-21876.7392021744,-18663.5430253404,-19599.4358332869,-18690.016019996,-19625.0303598921,-4415.44326221309,-4469.44634988039,-4519.10769724116
"7",1,-4111.44,-4136.43,-4135.7,-4134.88,-4149.15,-4148.2,-4149.13,-4151.28,-4154.45,-4125.04110594801,-4164.46605394552,-4159.99899484022,-4159.13150897035,-4181.82282680755,-4181.35085026081,-4178.74267562966,-4194.83391760047,-4199.85138566969
"8",1,-4176.77,-4204.26,-4188.25,-4190.06,-4208.41,-4209.44,-4194.33,-4194.96,-4195.25,-4189.22587699836,-4229.27367676618,-4207.39091439429,-4210.72166905855,-4236.00891339171,-4237.77083583961,-4217.69970005969,-4242.10067771346,-4242.85935739497
"9",6,-23315.7,-13581.3,-23316.2,-23032,-13595.1,-4464.12,-23037.7,-451426,-450696,-23386.3451527244,-13599.907131434,-23388.6860137188,-23099.6971773612,-13615.010275872,-4481.16273338127,-23106.4384983164,-4512.03100173604,-4587.96629815267
"10",9,-27817.5,-26034.9,-27422.1,-26922,-25386.1,-24506.2,-26415.6,-27904.8,-568316,-28008.5343969303,-26162.1819037043,-27596.7793163324,-27077.8476230499,-25497.0056431613,-24597.6389995813,-26554.7274136662,-23574.5858502164,-5072.57648026398
