# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model7_model
# start_datetime = 2023-11-09 00:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5241528a13.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model7-202311090030-1-47f266.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model7-profile-202311090030-1-236bf0.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model7_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-8496.07,1,0.00390625,1,1,0,31185.5,2.27346,0.568377,1.80095,0.192039,0.551577
-8496.07,0,14.3855,0,1,1,8498.4,2.27346,0.568377,1.80095,0.192039,0.551577
-8496.07,0,2.43117,0,1,1,8496.63,2.27346,0.568377,1.80095,0.192039,0.551577
-8496.07,0,0.239791,0,1,1,8499.7,2.27346,0.568377,1.80095,0.192039,0.551577
-8496.07,0,0.0186273,0,1,1,8498.05,2.27346,0.568377,1.80095,0.192039,0.551577
-8304.12,1,0.00130482,1,1,0,8497.46,2.27543,0.569051,1.80097,0.192459,0.557887
-7865.11,1,0.00189104,1,1,0,8288.09,2.27568,0.570753,1.80281,0.192347,0.573428
-5221.33,1,0.00305706,2,3,0,7674.43,2.2582,0.568394,1.78218,0.192884,0.739343
-4784.49,1,0.00530085,1,1,0,5146.57,2.24905,0.57118,1.77411,0.193136,0.805624
-4398.13,1,0.00961161,2,3,0,4621.94,2.24229,0.574674,1.77499,0.193773,0.967853
-4398.13,0.0426939,0.0179176,1,1,0,4399.23,2.24229,0.574674,1.77499,0.193773,0.967853
-4273.84,0.999845,0.00165015,6,63,0,4404.47,1.60127,0.587825,1.55415,0.140663,0.969256
-4268.56,0.999814,0.00317856,3,7,0,4274.47,1.59373,0.587992,1.55464,0.139508,0.980723
-4264.58,1,0.0061626,3,7,0,4270.87,1.60563,0.575382,1.55123,0.136975,0.996054
-4131.71,0.889001,0.0119735,6,63,0,4269.23,1.03986,0.199451,0.419494,0.0901609,1.00163
-4132.45,0.0455597,0.016459,3,7,0,4135.26,1.04622,0.20048,0.430854,0.0894015,1.00879
