# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model8_model
# start_datetime = 2023-11-09 00:33:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5241ec7238c.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model8-202311090033-1-4927cf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model8-profile-202311090033-1-20e7c7.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model8_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-8558.39,1,0.00390625,1,1,0,31132.9,2.27445,0.568625,1.80095,0.192123,0.550042
-8558.39,0,14.3855,0,1,1,8560.73,2.27445,0.568625,1.80095,0.192123,0.550042
-8558.39,0,2.43117,0,1,1,8558.95,2.27445,0.568625,1.80095,0.192123,0.550042
-8558.39,0,0.239791,0,1,1,8562.03,2.27445,0.568625,1.80095,0.192123,0.550042
-8558.39,0,0.0186273,0,1,1,8560.38,2.27445,0.568625,1.80095,0.192123,0.550042
-8364.2,1,0.00130482,1,1,0,8559.73,2.27641,0.569298,1.80097,0.192543,0.556376
-7920.64,1,0.00189104,1,1,0,8347.95,2.27666,0.570997,1.80281,0.192429,0.571961
-5252.9,1,0.00305706,2,3,0,7728.13,2.25897,0.568583,1.78219,0.19295,0.738339
-4812.87,1,0.00530085,1,1,0,5177.62,2.24951,0.571293,1.77412,0.193175,0.80478
-4423.23,1,0.00961161,2,3,0,4649.2,2.24168,0.574512,1.77501,0.193719,0.967494
-4423.23,0.0417039,0.0179176,1,1,0,4424.33,2.24168,0.574512,1.77501,0.193719,0.967494
-4396.91,0.999689,0.001645,5,31,0,4429.58,2.11029,0.591625,1.75462,0.181262,1.0173
-4387.63,1,0.0031671,4,15,0,4399.31,2.12545,0.589728,1.73405,0.176302,0.995317
-4379.29,0.913973,0.00614408,2,3,0,4389.99,2.10589,0.58505,1.69427,0.173117,1.001
-4363.27,0.91991,0.00912906,2,3,0,4384.83,1.95277,0.588175,1.70085,0.172457,0.992682
-4165.59,0.768249,0.0138339,4,15,0,4364.32,0.838318,0.422955,0.965246,0.100235,0.977652
-4145.86,0.996798,0.0131317,4,15,0,4165.72,0.981896,0.361261,0.655057,0.100632,0.997148
-4144.86,0.267524,0.0251583,1,3,0,4147.23,1.00199,0.347414,0.65165,0.100284,0.990696
-4137.2,0.979804,0.00524867,5,63,0,4148.23,0.962569,0.275268,0.482197,0.10337,0.996202
-4133.52,0.977047,0.00957448,5,31,0,4140.71,1.1779,0.217433,0.526509,0.109664,0.997535
-4132.99,0.147714,0.0171861,2,7,1,4134.61,1.18502,0.216921,0.519952,0.107237,0.98874
-4114.88,0.999801,0.00263487,8,255,0,4139.2,2.00967,0.132071,0.297989,0.0809058,0.995809
-4103.86,0.999928,0.00507445,7,127,0,4116.93,3.33323,0.111466,0.16729,0.0424647,0.995933
-4103.24,0.549431,0.0096782,6,63,0,4107.42,3.3802,0.0756209,0.157883,0.0541615,0.993174
-4106,0.880054,0.00498804,6,127,0,4108.43,4.19111,0.101571,0.164147,0.0336658,1.00517
-4104.15,0.994688,0.00669058,6,127,0,4107.33,3.53041,0.0784384,0.121527,0.0456306,0.983111
-4101.92,0.999915,0.0123607,5,63,0,4104.11,4.44234,0.0734739,0.147129,0.0384837,0.993235
-4101.88,0.275254,0.0229402,1,3,0,4103.1,4.40075,0.0716018,0.147735,0.0391827,0.997859
-4103.34,0.985718,0.0056003,6,63,0,4103.86,3.38725,0.0898065,0.137761,0.0411903,0.988029
-4102.77,0.932935,0.0099598,6,63,0,4105.46,4.11088,0.0563506,0.12406,0.0396789,0.994087
-4104,0.915265,0.0151834,4,15,0,4104.47,4.02585,0.0537313,0.129227,0.0400018,0.991578
-4105.76,0.120531,0.0219089,1,3,1,4111.41,3.77418,0.0555984,0.129549,0.0400467,0.986276
-4105.28,0.994008,0.00369406,6,63,0,4107.32,4.41536,0.073105,0.155432,0.0459499,1.0051
-4102.16,0.994487,0.00661411,4,23,0,4108.02,3.81893,0.0723292,0.143991,0.0407528,0.983556
-4101.57,0.930545,0.0117455,5,63,0,4103.23,4.38745,0.0748424,0.140491,0.0360297,0.999597
-4101.57,0.000396438,0.0174676,1,3,0,4104.96,4.38745,0.0748424,0.140491,0.0360297,0.999597
-4102.16,0.999923,0.0022804,7,127,0,4102.7,4.2485,0.0809224,0.131757,0.032883,0.989791
-4103.75,0.989909,0.00408386,7,191,0,4105.73,4.08299,0.0980855,0.146921,0.0385622,1.00233
-4103.78,0.999143,0.00706272,6,63,0,4104.77,3.8978,0.0975178,0.131984,0.0349967,0.98698
-4104.8,0.962911,0.0123988,5,31,0,4107.67,4.15916,0.0517862,0.152031,0.0378276,0.989407
-4104.8,0.00883463,0.0196885,1,3,0,4107.73,4.15916,0.0517862,0.152031,0.0378276,0.989407
-4106.99,0.997204,0.00282831,6,63,0,4107.73,3.81921,0.0521135,0.153393,0.0380216,0.987511
-4104.4,1,0.00490972,7,127,0,4109.12,4.32984,0.084669,0.173525,0.0359546,0.988385
-4103.65,0.974515,0.0085114,6,63,0,4105.68,4.39566,0.0728941,0.116982,0.0484445,1.0017
-4103.94,0.585382,0.0137473,5,63,0,4105.83,3.50678,0.0785437,0.118562,0.04501,1.00114
-4102.73,0.967091,0.00853367,5,63,0,4105.56,4.3798,0.0821791,0.153628,0.0371378,0.991743
-4102.77,0.542404,0.0134402,5,63,0,4104.01,4.72715,0.0644061,0.114938,0.0448184,0.993821
-4102.11,0.980328,0.0075714,6,95,0,4103.91,4.06187,0.0723068,0.112035,0.0441134,0.998295
-4103.2,0.995393,0.0122356,3,15,0,4106.08,4.7506,0.0691772,0.126434,0.043647,0.99325
-4102.53,0.343544,0.0203553,2,5,0,4104.66,4.62805,0.070211,0.128367,0.0429004,0.991882
-4102.76,0.972934,0.00723464,6,127,0,4108.81,3.67097,0.0795252,0.141417,0.0363334,0.988223
-4104.03,0.573108,0.0113767,5,47,0,4106.41,3.73427,0.0876174,0.147477,0.0470533,0.978972
-4103.91,0.930575,0.00701497,6,63,0,4107.85,3.33256,0.0818706,0.170881,0.0377899,0.997879
-4104.05,0.995585,0.00994137,6,63,0,4104.95,3.72174,0.0914034,0.175652,0.048,0.99838
-4104.73,0.15357,0.0162805,4,15,0,4106.13,3.79076,0.0924425,0.174793,0.0490018,0.995892
-4104.72,0.998696,0.00387824,5,31,0,4105.17,3.83565,0.0920284,0.172142,0.048832,0.995084
-4102.1,0.998856,0.00639147,6,95,0,4106.64,3.96524,0.071994,0.127136,0.048848,0.995869
-4103.57,0.809732,0.0104698,5,31,0,4104.45,3.59895,0.0693664,0.133531,0.0510403,0.985307
-4103.77,0.964294,0.011158,6,63,0,4107.61,4.15523,0.0893233,0.127052,0.0308565,0.996712
-4103.77,0.000344754,0.0167594,2,7,0,4108.6,4.15523,0.0893233,0.127052,0.0308565,0.996712
-4103.73,1,0.00296642,8,255,0,4104.47,4.11454,0.089904,0.130167,0.0310586,0.992729
-4104.84,0.969028,0.00483227,6,127,0,4106.5,3.87228,0.0921469,0.120809,0.0324618,0.989876
-4103.53,0.998116,0.0073126,5,31,0,4105.89,4.65886,0.0854833,0.134342,0.0375621,0.995069
-4102.11,0.999758,0.0117298,4,31,0,4104.67,4.24101,0.0875771,0.122644,0.0370475,0.993593
-4102.77,0.120056,0.0187765,2,4,1,4107.72,4.19738,0.086113,0.116205,0.0366823,1.00284
-4104.15,0.997135,0.00450988,7,191,0,4105.86,5.30696,0.0481565,0.103528,0.0374783,0.985006
-4103.4,0.998095,0.00717667,4,31,0,4106.22,4.88028,0.0506332,0.0988849,0.0350794,0.988668
-4103.09,0.607711,0.0113826,5,31,0,4105.42,5.31434,0.0565827,0.101775,0.0387783,0.996099
-4102.18,0.965464,0.00786687,6,127,0,4104.27,3.91826,0.0858139,0.164784,0.038706,0.992065
-4102.36,0.865804,0.0115814,5,31,0,4104.06,3.51275,0.076917,0.144237,0.0447457,0.986279
-4103.56,0.252957,0.0137817,5,49,0,4105.69,3.94073,0.0867717,0.151037,0.0400622,0.979317
-4101.95,0.997406,0.00457322,7,167,0,4105.56,4.18795,0.0782656,0.117993,0.0387083,0.986056
-4101.21,0.999796,0.00716522,5,63,0,4102.18,4.12186,0.0716595,0.123189,0.0402607,0.999795
-4101.24,0.927219,0.0112269,6,63,0,4101.68,4.07848,0.071169,0.123599,0.0404763,0.989323
-4101.89,0.22029,0.0150884,5,63,0,4103.75,3.60143,0.0815973,0.165534,0.0437837,0.998853
-4104.17,0.997597,0.00478671,6,63,0,4104.63,3.23341,0.0979399,0.180217,0.0390559,0.989325
-4105.7,0.932456,0.0074271,4,15,0,4106.75,3.06295,0.101249,0.176802,0.0379784,0.994921
-4106.39,0.990779,0.0100587,3,7,0,4106.68,3.02398,0.102651,0.178959,0.0375104,0.996015
-4105.6,0.139922,0.0152662,4,15,0,4109.71,3.12994,0.0968557,0.171047,0.0391968,0.983
