# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model4_model
# start_datetime = 2023-11-09 00:19:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-5245ca47e78.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model4-202311090019-1-76fab6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model4-profile-202311090019-1-2aec3d.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-8017.46,1,0.00390625,1,1,0,31734.2,2.26944,0.568377,1.79777,0.1917,0.564935
-8017.46,0,14.3855,0,1,1,8019.8,2.26944,0.568377,1.79777,0.1917,0.564935
-8017.46,0,2.43117,0,1,1,8018.02,2.26944,0.568377,1.79777,0.1917,0.564935
-8017.46,0,0.239791,0,1,1,8021.1,2.26944,0.568377,1.79777,0.1917,0.564935
-8017.46,0,0.0186273,0,1,1,8019.45,2.26944,0.568377,1.79777,0.1917,0.564935
-7842.63,1,0.00130482,1,1,0,8019.28,2.27153,0.56905,1.79789,0.19213,0.571059
-7438.67,1,0.00189104,1,1,0,7828.32,2.27207,0.570748,1.79996,0.192041,0.586278
-4980.97,1,0.00305706,2,3,0,7262.05,2.25789,0.568369,1.78201,0.192857,0.748785
-4569.89,1,0.00530085,1,1,0,4910.26,2.25186,0.571151,1.77641,0.193376,0.813896
-4209.29,1,0.00961161,2,3,0,4416.32,2.25577,0.574637,1.78578,0.194938,0.97244
-4209.29,0.020458,0.0179176,2,3,0,4210.4,2.25577,0.574637,1.78578,0.194938,0.97244
-4200.14,0.99976,0.00153822,6,63,0,4211.58,2.18301,0.558507,1.84693,0.189055,1.01451
-4177.06,0.965673,0.0029628,5,31,0,4204.13,1.95437,0.51951,1.7272,0.180665,1.00739
-4160.38,0.989462,0.00516278,4,15,0,4182.26,1.7098,0.509333,1.54514,0.181018,1.00263
-4157.86,1,0.00971611,3,7,0,4161.72,1.6845,0.516338,1.5283,0.175219,0.990697
-4153.44,0.704826,0.018863,2,3,0,4159.04,1.63163,0.500524,1.55305,0.175431,0.991152
-4151.24,0.546938,0.0146995,3,7,0,4156.04,1.5723,0.501017,1.58734,0.170899,0.980904
-4117.97,0.999809,0.00712204,6,95,0,4155.68,2.41369,0.178595,0.468644,0.195519,1.0096
-4095.68,1,0.0138036,5,31,0,4122.39,1.6959,0.103352,0.301839,0.111288,0.988041
-4095.68,3.94436e-05,0.0265495,1,2,1,4097.78,1.6959,0.103352,0.301839,0.111288,0.988041
-4088.79,0.999387,0.00256703,6,95,0,4096.9,2.62087,0.125257,0.304342,0.104851,1.00379
-4088.59,1,0.00495973,5,31,0,4089.88,2.60291,0.126157,0.284721,0.104912,0.986989
-4088.09,0.939008,0.00950645,6,127,0,4090.85,3.94771,0.0890013,0.2647,0.0534362,1.00662
-4085.1,0.624836,0.0151079,6,63,0,4087.76,3.5339,0.0871913,0.193363,0.0719526,0.994398
-4085.74,0.841896,0.00963965,6,127,0,4087.51,2.75168,0.122533,0.350881,0.0693266,0.993931
-4086.03,0.84815,0.0115293,5,63,0,4088.91,2.63546,0.125405,0.309157,0.0583428,0.997989
-4085.87,0.392644,0.0139986,4,15,0,4087.12,2.72921,0.120682,0.313676,0.0601713,1.00288
-4085.47,0.990902,0.00471436,5,63,0,4088.61,2.43078,0.102548,0.308868,0.067698,0.996981
-4084.88,0.957054,0.00855904,4,31,0,4086.83,2.50527,0.103097,0.316192,0.0690934,0.99214
-4086.65,0.479262,0.0140133,5,31,0,4088.32,2.87269,0.127427,0.283792,0.0647049,0.983684
-4087.51,0.930668,0.0061495,7,151,0,4093.42,1.87755,0.154756,0.46933,0.105106,1.00092
-4085.33,0.593998,0.00932187,6,63,0,4092.05,2.20034,0.129954,0.342476,0.094455,0.998445
-4085.13,0.984128,0.00566662,7,127,0,4086.41,2.38487,0.117002,0.314502,0.0699509,1.00121
-4085.99,0.669376,0.00984735,4,19,0,4089.13,2.69613,0.133949,0.317095,0.066506,0.991558
-4086.61,0.843407,0.00736389,6,63,0,4090.65,2.61258,0.121209,0.332061,0.073871,0.980483
-4084.23,0.9668,0.00874124,7,191,0,4087.05,3.23779,0.0851763,0.21156,0.073004,0.99441
-4085.56,0.783075,0.0142756,5,31,0,4087.18,2.98024,0.090624,0.25741,0.0868098,0.987269
-4086.73,0.988283,0.0143779,6,63,0,4089.05,4.0325,0.0716764,0.22614,0.0429654,0.996418
-4086.73,1.62462e-10,0.0245233,1,3,1,4089.42,4.0325,0.0716764,0.22614,0.0429654,0.996418
