# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = est_model5_model
# start_datetime = 2023-11-09 00:24:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/standata-524593d10c0.json
# init = 2 (Default)
# random
#   seed = 3283
# output
#   file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model5-202311090024-2-2eca95.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/ym/jhpnwhvd4p54fz414vlsdlsh0000gn/T/Rtmpvr9TMr/est_model5-profile-202311090024-2-2becd4.csv
# stanc_version = stanc3 v2.27.0
# stancflags = --include-paths=/Users/sahoko/GitHub/ANOVA-GP-model-selection/Code/Stan --name=est_model5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha1,alpha2,alpha3,sigma
-4424.08,1,0.015625,1,1,0,6466.54,2.00046,0.200259,2.05681,0.194753,1.11651
-4424.08,0,14.3855,0,1,1,4431.8,2.00046,0.200259,2.05681,0.194753,1.11651
-4424.08,0,2.43117,0,1,1,4424.42,2.00046,0.200259,2.05681,0.194753,1.11651
-4424.08,0,0.239791,0,1,1,4427.75,2.00046,0.200259,2.05681,0.194753,1.11651
-4424.08,3.03708e-70,0.0186273,1,3,1,4425.74,2.00046,0.200259,2.05681,0.194753,1.11651
-4365.42,0.99994,0.00130482,3,7,0,4427.65,1.99557,0.199037,2.01923,0.19372,1.07296
-4327.97,0.996799,0.00189069,3,7,0,4370.23,1.98794,0.198731,2.01621,0.189799,1.02763
-4312.76,0.997035,0.00302619,3,7,0,4329.71,1.96915,0.19371,1.97784,0.19038,1.00519
-4302.38,0.973725,0.00519815,3,7,0,4314.76,1.89232,0.18974,1.97305,0.189732,0.998516
-4275.68,1,0.00867406,3,7,0,4304.5,1.79975,0.167515,1.90215,0.187741,0.995406
-4275.68,0.107115,0.0161676,2,3,0,4276.62,1.79975,0.167515,1.90215,0.187741,0.995406
-4241.32,0.997643,0.0018252,5,31,0,4277.73,1.55077,0.149384,1.77371,0.189495,1.00279
-4237.8,1,0.0034904,3,7,0,4241.42,1.53446,0.148314,1.7483,0.187893,0.987384
-4230.33,0.980336,0.00676835,4,15,0,4239.41,1.5213,0.141873,1.69579,0.183145,0.988502
-4229.27,0.999985,0.012362,4,15,0,4230.68,1.50978,0.142099,1.68474,0.184133,0.998733
-4229.27,0.0103758,0.0239622,2,4,1,4232.98,1.50978,0.142099,1.68474,0.184133,0.998733
-4193.39,0.996654,0.00220045,7,127,0,4233.92,1.23802,0.137399,1.28687,0.197621,0.992071
-4187.75,0.91751,0.00426993,5,31,0,4201.6,1.32589,0.117677,1.20332,0.203408,0.993449
-4150.48,0.985346,0.00647469,5,31,0,4190.16,1.29612,0.107044,0.643627,0.159319,0.991002
-4148.71,0.976464,0.0119892,5,31,0,4152.52,1.32022,0.10064,0.600205,0.155133,0.989423
-4148.71,1.16784e-16,0.0214433,1,1,0,4151.27,1.32022,0.10064,0.600205,0.155133,0.989423
-4125.42,0.999976,0.00212035,8,319,0,4151.6,2.42492,0.103269,0.114716,0.110856,0.991365
-4114.61,1,0.00409314,6,63,0,4128.01,3.13368,0.101264,0.156043,0.0730205,0.996933
-4110.22,0.999545,0.00782253,5,31,0,4116.46,3.31185,0.0833879,0.151897,0.0718714,0.993499
-4109.65,0.540328,0.0147776,5,31,0,4111.13,3.29428,0.0831184,0.143099,0.0689283,0.994107
-4108.19,0.957885,0.00743984,6,63,0,4110.57,3.77592,0.0550463,0.152403,0.0761318,0.995052
-4108.33,0.324011,0.0123729,6,63,0,4116.18,4.42941,0.0469389,0.0958549,0.0501639,1.00352
-4108.45,0.979827,0.00343988,7,191,0,4111.21,4.78894,0.0514903,0.113182,0.0663903,1.00348
-4110.35,0.890966,0.00607166,3,7,0,4111.1,4.85663,0.0526318,0.111848,0.0676144,1.0101
-4108.81,0.993443,0.00830634,4,23,0,4112.03,4.14953,0.0521206,0.108732,0.0627521,0.979066
-4106.6,0.789757,0.0149676,4,15,0,4107.4,4.35498,0.0560719,0.112258,0.0636087,0.991506
-4106.57,0.158421,0.0153608,5,63,0,4109.81,4.41178,0.0591677,0.100931,0.0544329,0.995472
-4106.17,0.999895,0.00287665,7,191,0,4107.21,4.61698,0.0548361,0.100033,0.0498739,0.995281
-4110.61,0.99544,0.00524284,6,127,0,4111.31,5.59648,0.0336301,0.103801,0.0427394,0.997675
-4108.46,0.95209,0.00935138,4,31,0,4113.63,5.66385,0.0435501,0.10934,0.0446047,0.99745
-4110.73,0.420979,0.0147443,5,47,0,4113.82,3.73063,0.0477448,0.125797,0.0545667,0.984041
-4112.74,0.913389,0.00577401,7,127,0,4116.71,4.95635,0.041911,0.0713345,0.0437645,0.999241
-4113.25,0.994298,0.00820588,6,63,0,4116.36,6.7392,0.0460467,0.0697637,0.0385725,0.992158
-4109.3,0.611456,0.0142755,5,31,0,4113.9,5.46651,0.0434285,0.0772822,0.0370879,0.992658
