"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"19",3,-15907.9,-15920,-9624.23,-15916.6,-9653.78,-15924,-9653.21,-9679.97,-9697.83,-15928.4615312764,-15947.4336628441,-9639.58563600845,-15942.4443759682,-9672.77161854849,-15954.7706237406,-9670.66413812749,-9702.7839261149,-9727.06493710809
"20",9,-24929.2,-21904.2,-24700.4,-24875.4,-21377.6,-21765.6,-24642.7,-21215.1,-10215.1,-25029.2615046604,-21958.8224025884,-24796.7246277489,-24975.5046813983,-21427.5468729889,-21819.9191822223,-24738.3062238225,-21264.7314057914,-10234.1360103968
"21",7,-18352.4,-18367.5,-16185.2,-15941.2,-16215.1,-15966.2,-9808.46,-9848.47,-9879.83,-18380.6875143739,-18402.9664318206,-16207.4959481055,-15963.3323102338,-16241.3588433519,-15993.3858779342,-9824.79799921975,-9869.29882950222,-9909.59241961225
"22",7,-14511.5,-14528.4,-12433.2,-13155.2,-12456.3,-13189.2,-9649.95,-9683.96,-9716.51,-14529.0588510055,-14554.3734547524,-12450.3893345858,-13172.3216920173,-12479.0935805127,-13210.4265917747,-9666.16994265138,-9704.7345577131,-9746.4288084305
"23",3,-13200.3,-13216.8,-9713.08,-13212.1,-9745.42,-13221.9,-9739.55,-9766.44,-9775.75,-13215.6164224774,-13240.8199935661,-9728.25670820368,-13233.6179378144,-9765.00687502997,-13248.2076765482,-9756.98557505437,-9788.45915836668,-9802.65059558135
"24",2,-19546,-9652.51,-19546.7,-19547.7,-9661.56,-9665.47,-19547.4,-9670.82,-9681.36,-19580.0047465708,-9668.10521855787,-19582.0844446964,-19584.0216507584,-9678.74475189129,-9683.70208629338,-19584.1615103131,-9689.73475110882,-9703.0030370821
"25",3,-12604.9,-12626.3,-9524.87,-12621.6,-9566.83,-12634.7,-9559.04,-9598.11,-9611.29,-12620.6522482942,-12650.9005003219,-9540.4413537268,-12644.7559556346,-9586.98824034934,-12663.8683667381,-9577.66665056421,-9622.81136994362,-9642.93243924037
"26",7,-19726.6,-19741.1,-19474.8,-12192.9,-19497.6,-12220.6,-9766.22,-9805.76,-9848.89,-19761.6197356087,-19782.4065948194,-19509.9539479931,-12209.9989301821,-19535.4535544386,-12243.1058367962,-9782.63049529714,-9826.92928290199,-9881.62322244274
"27",1,-9645.6,-9663.82,-9661.8,-9659.34,-9672.55,-9669.67,-9668.34,-9676.7,-9676.42,-9659.77049853725,-9685.60478906239,-9682.79482691973,-9680.57092926614,-9698.33973463184,-9696.18485078393,-9693.92449239221,-9705.74053232247,-9706.74994289541
"28",4,-15405.5,-15419,-15414.1,-9762.32,-15423.1,-9795.82,-9783.9,-9813.36,-9832.18,-15425.8421576924,-15445.6789476546,-15439.3704489382,-9778.09475830889,-15452.4743116489,-9815.74824447135,-9802.08553527395,-9835.57386362217,-9861.13003239232
